Set #,Title in NIV,Passage,Book,Breaks,Description
,,1,PSA,27:7-7,
,,2,PSA,27:8-8,
,,3,PSA,27:9-9,
,,4,PSA,27:10-10,
,,5,PSA,27:11-11,
,,6,PSA,27:12-12,
120,,,,,
,,1,PSA,27:13-13,
,,2,PSA,27:14-14,
121,,,,,
,,1,PSA,28:1-1,
,,2,PSA,28:2-2,
122,,,,,
,,1,PSA,28:3-3,
,,2,PSA,28:4-4,
,,3,PSA,28:5-5,
123,,,,,
,,1,PSA,28:6-6,
,,2,PSA,28:7-7,
124,,,,,
,,1,PSA,28:8-8,
,,2,PSA,28:9-9,
125,,,,,
,,1,PSA,29:1-1,
,,2,PSA,29:2-2,
126,,,,,
,,1,PSA,29:3-3,
,,2,PSA,29:4-4,
,,3,PSA,29:5-5,
,,4,PSA,29:6-6,
,,5,PSA,29:7-7,
,,6,PSA,29:8-8,
,,7,PSA,29:9-9,
127,,,,,
,,1,PSA,29:10-10,
,,2,PSA,29:11-11,
128,,,,,
,,1,PSA,30:1-1,
,,2,PSA,30:2-2,
,,3,PSA,30:3-3,
129,,,,,
,,1,PSA,30:4-4,
,,2,PSA,30:5-5,
130,,,,,
,,1,PSA,30:6-6,
,,2,PSA,30:7-7,
131,,,,,
,,1,PSA,30:8-8,
,,2,PSA,30:9-9,
,,3,PSA,30:10-10,
132,,,,,
,,1,PSA,30:11-11,
,,2,PSA,30:12-12,
133,,,,,
,,1,PSA,31:1-1,
,,2,PSA,31:2-2,
,,3,PSA,31:3-3,
,,4,PSA,31:4-4,
,,5,PSA,31:5-5,
134,,,,,
,,1,PSA,31:6-6,
,,2,PSA,31:7-7,
,,3,PSA,31:8-8,
135,,,,,
,,1,PSA,31:9-9,
,,2,PSA,31:10-10,
,,3,PSA,31:11-11,
,,4,PSA,31:12-12,
,,5,PSA,31:13-13,
136,,,,,
,,1,PSA,31:14-14,
,,2,PSA,31:15-15,
,,3,PSA,31:16-16,
,,4,PSA,31:17-17,
,,5,PSA,31:18-18,
137,,,,,
,,1,PSA,31:19-19,
,,2,PSA,31:20-20,
138,,,,,
,,1,PSA,31:21-21,
,,2,PSA,31:22-22,
139,,,,,
,,1,PSA,31:23-23,
,,2,PSA,31:24-24,
140,,,,,
,,1,PSA,32:1-1,
,,2,PSA,32:2-2,
141,,,,,
,,1,PSA,32:3-3,
,,2,PSA,32:4-4,
,,3,PSA,32:5-5,
142,,,,,
,,1,PSA,32:6-6,
,,2,PSA,32:7-7,
143,,,,,
,,1,PSA,32:8-8,
,,2,PSA,32:9-9,
,,3,PSA,32:10-10,
144,,,,,
,,1,PSA,32:11-11,
145,,,,,
,,1,PSA,33:1-1,
,,2,PSA,33:2-2,
,,3,PSA,33:3-3,
146,,,,,
,,1,PSA,33:4-4,
,,2,PSA,33:5-5,
147,,,,,
,,1,PSA,33:6-6,
,,2,PSA,33:7-7,
,,3,PSA,33:8-8,
,,4,PSA,33:9-9,
,,5,PSA,33:10-10,
,,6,PSA,33:11-11,
148,,,,,
,,1,PSA,33:12-12,
,,2,PSA,33:13-13,
,,3,PSA,33:14-14,
,,4,PSA,33:15-15,
,,5,PSA,33:16-16,
,,6,PSA,33:17-17,
,,7,PSA,33:18-18,
,,8,PSA,33:19-19,
149,,,,,
,,1,PSA,33:20-20,
,,2,PSA,33:21-21,
,,3,PSA,33:22-22,
150,,,,,
,,1,PSA,34:1-1,
,,2,PSA,34:2-2,
,,3,PSA,34:3-3,
151,,,,,
,,1,PSA,34:4-4,
,,2,PSA,34:5-5,
,,3,PSA,34:6-6,
,,4,PSA,34:7-7,
152,,,,,
,,1,PSA,34:8-8,
,,2,PSA,34:9-9,
,,3,PSA,34:10-10,
153,,,,,
,,1,PSA,34:11-11,
,,2,PSA,34:12-12,
,,3,PSA,34:13-13,
,,4,PSA,34:14-14,
154,,,,,
,,1,PSA,34:15-15,
,,2,PSA,34:16-16,
155,,,,,
,,1,PSA,34:17-17,
,,2,PSA,34:18-18,
156,,,,,
,,1,PSA,34:19-19,
,,2,PSA,34:20-20,
157,,,,,
,,1,PSA,34:21-21,
,,2,PSA,34:22-22,
158,,,,,
,,1,PSA,35:1-1,
,,2,PSA,35:2-2,
,,3,PSA,35:3-3,
159,,,,,
,,1,PSA,35:4-4,
,,2,PSA,35:5-5,
,,3,PSA,35:6-6,
,,4,PSA,35:7-7,
,,5,PSA,35:8-8,
,,6,PSA,35:9-9,
,,7,PSA,35:10-10,
160,,,,,
,,1,PSA,35:11-11,
,,2,PSA,35:12-12,
,,3,PSA,35:13-13,
,,4,PSA,35:15-15,
,,5,PSA,35:16-16,
,,6,PSA,35:17-17,
,,7,PSA,35:18-18,
161,,,,,
,,1,PSA,35:19-19,
,,2,PSA,35:20-20,
,,3,PSA,35:21-21,
162,,,,,
,,1,PSA,35:22-22,
,,2,PSA,35:23-23,
,,3,PSA,35:24-24,
,,4,PSA,35:25-25,
163,,,,,
,,1,PSA,35:26-26,
,,2,PSA,35:27-27,
,,3,PSA,35:28-28,
164,,,,,
,,1,PSA,36:1-1,
,,2,PSA,36:2-2,
,,3,PSA,36:3-3,
,,4,PSA,36:4-4,
165,,,,,
,,1,PSA,36:5-5,
,,2,PSA,36:6-6,
,,3,PSA,36:8-8,
,,4,PSA,36:9-9,
166,,,,,
,,1,PSA,36:10-10,
,,2,PSA,36:11-11,
,,3,PSA,36:12-12,
167,,,,,
,,1,PSA,37:1-1,
,,2,PSA,37:2-2,
168,,,,,
,,1,PSA,37:3-3,
,,2,PSA,37:4-4,
169,,,,,
,,1,PSA,37:5-5,
,,2,PSA,37:6-6,
170,,,,,
,,1,PSA,37:7-7,
171,,,,,
,,1,PSA,37:8-8,
,,2,PSA,37:9-9,
172,,,,,
,,1,PSA,37:10-10,
,,2,PSA,37:11-11,
173,,,,,
,,1,PSA,37:12-12,
,,2,PSA,37:13-13,
174,,,,,
,,1,PSA,37:14-14,
,,2,PSA,37:15-15,
175,,,,,
,,1,PSA,37:16-16,
