Set #,Title in NIV,Passage,Book,Breaks,Description
,,1,2KI,18:1-4,
,,2,2KI,18:5-8,
,,3,2KI,18:9-12,
,,4,2KI,18:13-15,
,,5,2KI,18:16-16,
42,Sennacherib Threatens Jerusalem,,,,
,,1,2KI,18:17-18,
,,2,2KI,18:19-19,
,,3,2KI,18:20-22,
,,4,2KI,18:23-25,
,,5,2KI,18:26-26,
,,6,2KI,18:27-27,
,,7,2KI,18:28-30,
,,8,2KI,18:31-32,
,,9,2KI,18:33-35,
,,10,2KI,18:36-36,
,,11,2KI,18:37-37,
43,Jerusalem's Deliverance Foretold,,,,
,,1,2KI,19:1-4,
,,2,2KI,19:5-7,
,,3,2KI,19:8-8,
,,4,2KI,19:9-13,
44,Hezekiah's Prayer,,,,
,,1,2KI,19:14-16,
,,2,2KI,19:17-19,
45,Isaiah Prophesies Sennacherib's Fall,,,,
,,1,2KI,19:20-21,
,,2,2KI,19:29-29,
,,3,2KI,19:32-32,
,,4,2KI,19:35-36,
,,5,2KI,19:37-37,
46,Hezekiah's Illness,,,,
,,1,2KI,20:1-1,
,,2,2KI,20:2-3,
,,3,2KI,20:4-6,
,,4,2KI,20:7-7,
,,5,2KI,20:8-8,
,,6,2KI,20:9-9,
,,7,2KI,20:10-10,
,,8,2KI,20:11-11,
47,Envoys From Babylon,,,,
,,1,2KI,20:12-13,
,,2,2KI,20:14-14,
,,4,2KI,20:15-15,
,,6,2KI,20:16-18,
,,7,2KI,20:19-19,
,,8,2KI,20:20-21,
48,Manasseh King of Judah,,,,
,,1,2KI,21:1-6,
,,2,2KI,21:7-9,
,,3,2KI,21:10-15,
,,4,2KI,21:16-16,
,,5,2KI,21:17-18,
49,Amon King of Judah,,,,
,,1,2KI,21:19-22,
,,2,2KI,21:23-24,
,,3,2KI,21:25-26,
50,The Book of the Law Found,,,,
,,1,2KI,22:1-2,
,,2,2KI,22:3-7,
,,3,2KI,22:8-10,
,,4,2KI,22:11-13,
,,5,2KI,22:14-14,
,,6,2KI,22:15-20,
51,Josiah Renews the Covenant,,,,
,,1,2KI,23:1-3,
,,2,2KI,23:4-7,
,,3,2KI,23:8-9,
,,4,2KI,23:10-11,
,,5,2KI,23:12-14,
,,6,2KI,23:15-16,
,,7,2KI,23:17-17,
,,9,2KI,23:18-18,
,,10,2KI,23:19-20,
,,11,2KI,23:21-23,
,,12,2KI,23:24-25,
,,13,2KI,23:26-27,
,,14,2KI,23:28-28,
,,15,2KI,23:29-30,
52,Jehoahaz King of Judah,,,,
,,1,2KI,23:31-35,
53,Jehoiakim King of Judah,,,,
,,1,2KI,23:36-37,
,,2,2KI,24:1-4,
,,3,2KI,24:5-6,
,,4,2KI,24:7-7,
54,Jehoiachin King of Judah,,,,
,,1,2KI,24:8-9,
,,2,2KI,24:10-12,
,,3,2KI,24:13-14,
,,4,2KI,24:15-17,
55,Zedekiah King of Judah,,,,
,,1,2KI,24:18-20,
56,The Fall of Jerusalem,,,,
,,2,2KI,25:1-7,
,,3,2KI,25:8-12,
,,4,2KI,25:13-15,
,,5,2KI,25:16-17,
,,6,2KI,25:18-21,
,,8,2KI,25:22-24,
,,9,2KI,25:25-26,
57,Jehoiachin Released,,,,
,,1,2KI,25:27-30,
