Set #,Title in NIV,Passage,Book,Breaks,Description
71,David's Plans for the Temple,,,,
,,1,1CH,28:1-1,
,,2,1CH,28:2-3,
,,3,1CH,28:4-7,
,,4,1CH,28:8-8,
,,5,1CH,28:9-10,
,,6,1CH,28:11-18,
,,7,1CH,28:19-19,
,,8,1CH,28:20-21,
72,Gifts for Building the Temple,,,,
,,1,1CH,29:1-5,
,,2,1CH,29:6-9,
73,David's Prayer,,,,
,,1,1CH,29:10-10,
,,2,1CH,29:14-19,
,,3,1CH,29:20-20,
74,Solomon Acknowledged as King,,,,
,,1,1CH,29:21-22,
,,2,1CH,29:23-24,
,,3,1CH,29:25-25,
75,The Death of David,,,,
,,1,1CH,29:26-28,
,,2,1CH,29:29-30,
